seed,lr,wd,epochs,n_train,n_test,metric_n,train_loss,train_acc,val_loss,final_acc,fim_norm,elapsed_s
11,0.001,0.0,3,1200,500,24,2.077993049621582,0.2658333333333333,2.101496124267578,0.288,0.47873104509157094,4.2385313510894775
11,0.001,0.0001,3,1200,500,24,2.0710987091064452,0.2633333333333333,2.089004150390625,0.296,0.43293977611374657,4.299362897872925
11,0.003,0.0,3,1200,500,24,1.8482426643371581,0.32416666666666666,1.8827300567626952,0.3,0.3323837266591156,4.426288843154907
11,0.003,0.0001,3,1200,500,24,1.8493103790283203,0.3308333333333333,1.880451629638672,0.318,0.30413294049926387,4.489865779876709
11,0.01,0.0,3,1200,500,24,1.6490887196858723,0.3925,1.8005865325927735,0.334,0.2965525806552088,4.050990581512451
11,0.01,0.0001,3,1200,500,24,1.646152769724528,0.38916666666666666,1.7525444030761719,0.314,0.3293771549534498,4.17739725112915
22,0.001,0.0,3,1200,500,24,2.0558734194437664,0.2683333333333333,2.0795594940185547,0.278,0.5729662583165526,4.170929670333862
22,0.001,0.0001,3,1200,500,24,2.0573098945617674,0.2683333333333333,2.078559280395508,0.282,0.5646127648677773,4.23102593421936
22,0.003,0.0,3,1200,500,24,1.8332618077596028,0.3175,1.8821300048828125,0.304,0.45234832874573977,4.058789014816284
22,0.003,0.0001,3,1200,500,24,1.8225079727172853,0.3458333333333333,1.873966079711914,0.33,0.4667831299827015,4.156377553939819
22,0.01,0.0,3,1200,500,24,1.7116825421651205,0.35583333333333333,1.8394933624267578,0.316,0.31086533704285796,4.088452100753784
22,0.01,0.0001,3,1200,500,24,1.7923175875345867,0.35583333333333333,1.9228442840576172,0.32,0.2777175651580267,4.153613328933716
33,0.001,0.0,3,1200,500,24,2.078309701283773,0.27666666666666667,2.119841583251953,0.224,0.5754219731474361,4.082194089889526
33,0.001,0.0001,3,1200,500,24,2.0767917760213215,0.27666666666666667,2.116914306640625,0.212,0.5739256833047797,4.140584230422974
33,0.003,0.0,3,1200,500,24,1.9537767537434896,0.30583333333333335,2.0248617095947266,0.242,0.24251819654439608,4.076319217681885
33,0.003,0.0001,3,1200,500,24,1.92701327641805,0.2975,1.9861825408935547,0.246,0.19375777324625254,4.189799547195435
33,0.01,0.0,3,1200,500,24,2.3107787068684895,0.24333333333333335,2.516576629638672,0.198,0.21096627118072311,4.136014938354492
33,0.01,0.0001,3,1200,500,24,1.748985595703125,0.35083333333333333,1.915011947631836,0.296,0.230131307420821,4.174835681915283
